name,AP,RR,P@5,P@10,R@100,nDCG@10,nDCG@20,index_time_s,documents,terms,postings,tokens,avg_doc_length,search_ms_per_query
all__porter__assignment,0.3185,0.5498,0.3316,0.2382,0.7376,0.3763,0.4192,0.68,1400,6495,92349,148740,106.24,6.59
title_text__porter__assignment,0.3156,0.545,0.328,0.2378,0.7397,0.3729,0.4145,0.65,1400,4603,80630,136309,97.36,6.62
all__porter__terrier,0.3132,0.5335,0.3253,0.2396,0.7426,0.3706,0.4127,0.64,1400,6452,89178,145321,103.8,6.92
title_text__porter__terrier,0.3116,0.5292,0.3244,0.2391,0.7446,0.368,0.4104,0.66,1400,4561,81049,136997,97.86,6.89
all__weakporter__assignment,0.3021,0.5165,0.3271,0.236,0.7303,0.3586,0.3992,0.62,1400,7518,94232,148740,106.24,6.53
text__porter__terrier,0.3006,0.5133,0.3111,0.2347,0.7445,0.3575,0.4001,0.36,1400,4561,81049,125838,89.88,6.35
text__porter__assignment,0.3005,0.5229,0.3191,0.2342,0.7366,0.3602,0.4008,0.37,1400,4603,80630,125196,89.43,6.26
title_text__weakporter__assignment,0.2995,0.5119,0.3298,0.2351,0.7302,0.3552,0.3971,0.36,1400,5601,82512,136309,97.36,5.96
all__weakporter__terrier,0.2978,0.5084,0.3271,0.2329,0.7371,0.3518,0.3957,0.42,1400,7465,91036,145321,103.8,6.1
title_text__weakporter__terrier,0.2963,0.5049,0.3244,0.2329,0.7383,0.3504,0.3926,0.37,1400,5549,82906,136997,97.86,6.03
all__none__assignment,0.2904,0.5163,0.3244,0.2324,0.7101,0.3538,0.3922,0.69,1400,9128,98273,148740,106.24,6.22
all__none__terrier,0.2895,0.5126,0.3191,0.2342,0.7112,0.3538,0.3911,0.68,1400,9085,95066,145321,103.8,6.52
title_text__none__terrier,0.2887,0.5126,0.3173,0.2329,0.7122,0.3527,0.3896,0.39,1400,7147,86930,136997,97.86,5.41
title_text__none__assignment,0.2887,0.5218,0.3244,0.2302,0.7124,0.3526,0.3909,0.39,1400,7189,86548,136309,97.36,5.26
text__weakporter__assignment,0.2882,0.4937,0.3093,0.2329,0.7262,0.3455,0.3816,0.36,1400,5601,82512,125196,89.43,6.02
text__weakporter__terrier,0.2854,0.4846,0.3084,0.2298,0.7358,0.34,0.3798,0.39,1400,5549,82906,125838,89.88,6.1
text__none__assignment,0.2796,0.5051,0.3067,0.2262,0.7088,0.3439,0.3796,0.4,1400,7189,86547,125196,89.43,5.36
text__none__terrier,0.2772,0.4961,0.3067,0.2271,0.7106,0.3405,0.3767,0.44,1400,7147,86929,125838,89.88,5.68
title_text__porter__none,0.2079,0.347,0.2098,0.1591,0.664,0.2414,0.2855,0.61,1400,4815,116502,243334,173.81,8.27
all__porter__none,0.2054,0.3562,0.2036,0.1613,0.66,0.2424,0.2828,0.67,1400,6705,128354,256838,183.46,8.33
all__weakporter__none,0.201,0.3487,0.2044,0.1613,0.6471,0.2374,0.2758,0.66,1400,7739,130514,256838,183.46,8.56
title_text__weakporter__none,0.2003,0.3382,0.2053,0.1582,0.6514,0.2337,0.2763,0.41,1400,5822,118643,243334,173.81,7.7
all__none__none,0.1945,0.3591,0.2027,0.1529,0.6215,0.23,0.2697,0.67,1400,9400,134796,256838,183.46,8.74
title_text__none__none,0.1927,0.3493,0.1991,0.1556,0.6224,0.2283,0.268,0.39,1400,7458,122918,243334,173.81,7.74
text__porter__none,0.1926,0.335,0.184,0.1511,0.6494,0.2243,0.2652,0.39,1400,4815,116502,226656,161.9,7.79
text__weakporter__none,0.1864,0.3314,0.192,0.1471,0.6423,0.2154,0.2589,0.39,1400,5822,118643,226656,161.9,7.77
text__none__none,0.1795,0.3361,0.184,0.144,0.6121,0.211,0.2516,0.95,1400,7458,122917,226656,161.9,8.64
