name,search_ms_per_query,AP,RR,P@5,P@10,R@100,nDCG@10,nDCG@20
In_expB2,6.86,0.329,0.5543,0.3342,0.2538,0.7571,0.3896,0.4291
TF_IDF,7.62,0.3203,0.5569,0.3307,0.2373,0.747,0.3778,0.4197
BM25,6.77,0.3185,0.5498,0.3316,0.2382,0.7376,0.3763,0.4192
DFR_BM25,6.74,0.3184,0.5528,0.3307,0.2382,0.7382,0.3772,0.4201
PL2,6.78,0.3136,0.5591,0.3244,0.2347,0.7438,0.3734,0.4175
IFB2,7.14,0.3128,0.5322,0.32,0.2431,0.7256,0.3724,0.4101
DPH,7.11,0.3127,0.5749,0.3209,0.2329,0.7395,0.3777,0.4167
DLH13,6.9,0.3093,0.5569,0.3209,0.2267,0.7337,0.3674,0.4118
DFRee,7.03,0.3032,0.556,0.3138,0.2187,0.7255,0.3603,0.4011
Hiemstra_LM,7.1,0.2984,0.536,0.3093,0.2173,0.7346,0.3544,0.3993
LemurTF_IDF,7.34,0.2953,0.5045,0.2969,0.2284,0.7265,0.3543,0.3914
Tf,8.7,0.1927,0.4302,0.1964,0.1507,0.6516,0.2352,0.2767
