name,model,AP,RR,P@5,P@10,R@100,nDCG@10,nDCG@20
"BM25(k_1=2.5, b=0.75)",BM25,0.3383,0.555,0.3434,0.254,0.7673,0.3905,0.4354
"BM25(k_1=3.0, b=0.6)",BM25,0.3377,0.5567,0.3416,0.2558,0.7715,0.391,0.4354
"BM25(k_1=4.0, b=0.75)",BM25,0.3377,0.556,0.3487,0.2522,0.7705,0.3862,0.4363
"BM25(k_1=4.0, b=0.6)",BM25,0.3374,0.5515,0.3434,0.2549,0.7711,0.3887,0.4349
"BM25(k_1=3.0, b=0.75)",BM25,0.3357,0.5487,0.3451,0.2566,0.7713,0.3883,0.4345
"BM25(k_1=2.0, b=0.75)",BM25,0.3355,0.5563,0.3434,0.254,0.7596,0.3914,0.4326
"BM25(k_1=2.5, b=0.6)",BM25,0.3351,0.5507,0.3381,0.2575,0.7671,0.3916,0.4305
"BM25(k_1=3.0, b=0.5)",BM25,0.3349,0.5599,0.3363,0.2566,0.7657,0.3928,0.4328
"BM25(k_1=4.0, b=0.5)",BM25,0.3346,0.5579,0.3416,0.2558,0.7686,0.3909,0.4319
"BM25(k_1=1.2, b=0.9)",BM25,0.3345,0.5514,0.3434,0.2372,0.7506,0.3775,0.4319
"BM25(k_1=2.5, b=0.5)",BM25,0.3345,0.5541,0.3327,0.2549,0.7644,0.3897,0.4295
"BM25(k_1=2.0, b=0.6)",BM25,0.334,0.5557,0.3363,0.2566,0.7632,0.3909,0.4303
"BM25(k_1=3.0, b=0.4)",BM25,0.3339,0.557,0.3345,0.2513,0.7607,0.3887,0.4285
"BM25(k_1=1.4, b=0.75)",BM25,0.3338,0.5588,0.3398,0.2407,0.7558,0.3819,0.4319
"BM25(k_1=1.2, b=0.75)",BM25,0.3337,0.5563,0.3363,0.2389,0.7499,0.3794,0.4303
"BM25(k_1=1.6, b=0.75)",BM25,0.3335,0.5582,0.3434,0.2478,0.7573,0.3844,0.4313
"BM25(k_1=2.0, b=0.9)",BM25,0.3329,0.546,0.3451,0.2478,0.7653,0.3834,0.4311
"BM25(k_1=1.6, b=0.6)",BM25,0.3328,0.5567,0.3398,0.246,0.7597,0.3849,0.4277
"BM25(k_1=2.0, b=1.0)",BM25,0.3324,0.5456,0.3451,0.2478,0.7618,0.38,0.4298
"BM25(k_1=2.5, b=0.4)",BM25,0.3322,0.5546,0.3327,0.2522,0.7586,0.3875,0.4302
"BM25(k_1=2.5, b=0.9)",BM25,0.3319,0.5384,0.3451,0.2522,0.7683,0.3817,0.4304
"BM25(k_1=2.0, b=0.5)",BM25,0.3318,0.5545,0.3363,0.2531,0.7611,0.389,0.4297
"BM25(k_1=1.0, b=0.9)",BM25,0.3315,0.5466,0.3416,0.2345,0.7483,0.3759,0.4272
"BM25(k_1=1.0, b=0.6)",BM25,0.3312,0.5559,0.3327,0.2381,0.7494,0.3812,0.4279
"BM25(k_1=3.0, b=0.9)",BM25,0.3308,0.5354,0.3434,0.2513,0.7682,0.3797,0.4278
