name,AP,RR,P@5,P@10,R@100,nDCG@10,nDCG@20
"Bo1(docs=5, terms=20)",0.374,0.5419,0.3575,0.2805,0.7922,0.4152,0.457
"KL(docs=5, terms=20)",0.3705,0.5418,0.3575,0.277,0.7945,0.4102,0.4542
"Bo1(docs=5, terms=5)",0.3679,0.5376,0.3558,0.277,0.7912,0.4095,0.453
"KL(docs=5, terms=10)",0.3674,0.543,0.354,0.2752,0.7923,0.408,0.4504
"Bo1(docs=5, terms=10)",0.3669,0.5335,0.3593,0.2761,0.7944,0.408,0.4526
"KL(docs=5, terms=5)",0.3645,0.5412,0.354,0.2752,0.7913,0.4071,0.4504
"Bo1(docs=3, terms=20)",0.3638,0.5542,0.3628,0.277,0.7904,0.4114,0.451
"Bo1(docs=3, terms=10)",0.3634,0.5616,0.3593,0.2761,0.7845,0.4126,0.451
"Bo1(docs=10, terms=20)",0.3615,0.5492,0.3451,0.2796,0.7975,0.408,0.4494
"Bo1(docs=3, terms=5)",0.3608,0.5566,0.3593,0.2752,0.7821,0.41,0.4481
"Bo1(docs=10, terms=10)",0.3599,0.5592,0.3434,0.2761,0.7943,0.4066,0.45
"KL(docs=3, terms=20)",0.3582,0.5434,0.3593,0.2761,0.7908,0.4065,0.4442
"KL(docs=3, terms=10)",0.3571,0.5487,0.3575,0.2726,0.7907,0.4047,0.4441
"KL(docs=10, terms=20)",0.3569,0.5451,0.3398,0.2743,0.797,0.4031,0.4469
"KL(docs=3, terms=5)",0.355,0.5475,0.3522,0.2726,0.7836,0.403,0.4412
"Bo1(docs=10, terms=5)",0.354,0.54,0.3469,0.2752,0.7905,0.403,0.4442
"KL(docs=10, terms=10)",0.3524,0.5372,0.3504,0.277,0.7928,0.4013,0.4457
"KL(docs=10, terms=5)",0.3499,0.5276,0.3504,0.2743,0.7894,0.3973,0.4416
